,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
0,Saeed Al marri,,Le credit documentaire et l'onopposabilite des exceptions,Philippe Delebecque,Delebecque Philippe,29561248,Paris 1,27361802,Driot prive,enCours,30-09-11,,,na,s69480,non,26-01-12,26-01-12,Droit et Science Politique,male,Université Paris 1 - Panthéon Sorbonne,NA
1,Andrea Ramazzotti,174423705,Application de la PGD a la resolution de problemes transitoires couples en vue de l'allegement des structures composites.,"Jean-Claude Grandidier,Marianne Beringhier","Grandidier Jean-Claude,Beringhier Marianne","715,441,511","Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aerotechnique",28024400,"Mecanique des solides, des materiaux, des structures et des surfaces",enCours,01-10-12,,,na,s98826,non,22-11-13,22-11-13,"Materiaux, Milieux et Chimie",female,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,NA
2,OLIVIER BODENREIDER,,Conception d'un outil informatique d'etude des cinetiques observees en toxicologie clinique,Francois Kohler,Kohler Francois,57030758,Nancy 1,,Medecine,soutenue,,01-01-93,1993.0,fr,1993NAN19006,non,24-05-13,17-11-12,Medecine,male,Université de Lorraine,Français
3,Emmanuel Porte,,Socio-histoire des politiques publiques en matiere sociale concernant les etudiants.,Gilles Pollet,Pollet Gilles,na,Lyon 2,02640334X,Science politique,enCours,01-06-11,,,na,s88867,non,12-07-13,12-01-16,Droit et Science Politique,male,Université Lumière - Lyon 2,NA
4,Arthur Devriendt,,LES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION ET LES NOUVELLES RURALITES.,Gabriel Dupuy,Dupuy Gabriel,na,Paris 1,27361802,Geographie,enCours,07-12-09,,,na,s89663,non,13-07-13,12-07-13,SHS,male,Université Paris 1 - Panthéon Sorbonne,NA
5,Elmantsr Briak,,"Integration forcee de l'afrique subsaharienne dans le processus de mondialisation ""structuration des economies"",""destructuration des etats"".",Edmond Jouve,Jouve Edmond,26941848,Paris 5,26404788,Science politique,enCours,01-12-02,24-11-08,2008.0,na,s6336,non,26-09-11,16-11-11,Droit et Science Politique,unknown,Université de Paris,NA
6,Jae-hyun Park,,Execution des decisions de justice condamnant l'administration.,Pierre Comte,Comte Pierre,na,Saint Etienne,28209966,Droit public,enCours,01-02-02,01-07-05,2005.0,na,s8305,non,26-09-11,02-02-12,Droit et Science Politique,andy,Université Jean Monnet,NA
7,Laurent david Benoiton,,Les effets des arrets de la Cour europeenne des droits de lhomme sur les contentieux administratifs nationaux. Essai sur la standardisation des droits europeens,Laurent Sermet,Sermet Laurent,34508287,La Reunion,26404451,Droit public,enCours,01-10-03,08-12-09,2009.0,na,s11271,non,26-09-11,26-04-12,Droit et Science Politique,male,Université de La Réunion,NA
8,Jennifer Guiraud (McKELLIPS),,"L'autobiographie sans frontieres : espace et deconstruction de l'identite dans les oeuvres de Colette, Nathalie Sarraute et Helene Cixous.",Anne-Emmanuelle Berger,Berger Anne-Emmanuelle,32574088,Paris 8,26403552,Etudes de genre,enCours,01-11-03,10-01-13,2013.0,na,s11354,non,26-09-11,04-04-16,Biologie,female,Université Paris 8 - Vincennes - Saint-Denis,NA
9,Nathalie Warcholak (David),,Interoperabilite et droits du marche.,Jean-Pierre Clavier,Clavier Jean-Pierre,35557060,Nantes,26403447,Droit prive,enCours,01-12-02,24-06-11,2011.0,na,s9544,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Nantes,NA
10,Scheherazade Pinilla canadas,,Les cites reapparaissantes: L'heroisme du grand nombre chez Balzac et Galdos,Patrice Vermeren,Vermeren Patrice,28251873,Paris 8,26403552,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,01-03-03,26-11-10,2010.0,na,s11451,non,26-09-11,02-04-12,SHS,unknown,Université Paris 8 - Vincennes - Saint-Denis,NA
11,Vladimir Arneuve,,Droit de la consommation et responsabilites,Jerome Julien,Julien Jerome,na,Toulouse 1,26404354,Droit prive,enCours,27-10-10,,,na,s19864,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
12,Tijani Aoulad el mokadem,,Les salaries dans les groupes de societes,Deen Gibirila,Gibirila Deen,33883238,Toulouse 1,26404354,Droit prive,enCours,03-01-11,,,na,s19876,non,26-09-11,22-01-15,Droit et Science Politique,unknown,Université Toulouse Capitole,NA
13,Ahmad Abbas,,La turquie et le moyen-orient depuis 1918 : etude juridique et diplomatique,Danielle Cabanis,Cabanis Danielle,na,Toulouse 1,26404354,Histoire du droit et des institutions,enCours,25-11-10,,,na,s19884,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
14,Luc Verrier,,Les figures de la colere dans la fiction de Martin Amis,Jean-Michel Ganteau,Ganteau Jean-Michel,58596852,Montpellier 3,26404702,Etudes anglophones,enCours,01-03-03,20-12-07,2007.0,na,s7807,non,26-09-11,05-04-16,Langues et Litteratures,male,Université Paul-Valéry - Montpellier 3,NA
15,Elodie Demaret,,La mediation comme facteur de maitrise intellectuelle et cognitive en cas de deprivation culturelle. etude longitudino-transversale portant sur 66 enfants de 3 a 11 ans.,Emile-Henri Riard,Riard Emile-Henri,137391919,Amiens,26403714,Psychologie,enCours,01-11-03,06-10-11,2011.0,na,s9649,non,26-09-11,06-02-12,Psychologie,female,Université de Picardie Jules-Verne,NA
16,Mariela cecilia Avila,,L'analyse de la notion de camp chez giorgio agamben discussion et perspectives philosophie politique,Patrice Vermeren,Vermeren Patrice,28251873,Paris 8,26403552,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,24-09-10,31-08-12,2012.0,na,s19963,non,26-09-11,04-04-16,SHS,female,Université Paris 8 - Vincennes - Saint-Denis,NA
17,Mohammed Al khateeb,,Etude sociologique des representations vehiculees par la chaine arabe de television al-jazeera,"Serge Regourd,Bernard Boene","Regourd Serge,Boene Bernard",27093115,Toulouse 1,26404354,Science politique,enCours,10-02-11,,,na,s20014,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
